2025-08-21 15:25:14,086-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:25:17,243-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:18,283-DEBUG-root-25612::webapp_internal::SetButton|4435:: ***System Info*** Before Clicking on button:Incluir
2025-08-21 15:25:18,284-DEBUG-root-25612::psutil_info::system_info|5:: CPU USAGE: 42.0%
2025-08-21 15:25:18,285-DEBUG-root-25612::psutil_info::system_info|6:: MEMORY USAGE: 92.0%
2025-08-21 15:25:18,286-DEBUG-root-25612::psutil_info::system_info|7:: MEMORY AVAILABLE: 7.99%
2025-08-21 15:25:19,270-DEBUG-root-25612::webapp_internal::wait_element_timeout|7749:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:20,358-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:20,583-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:20,584-DEBUG-root-25612::webapp_internal::send_action|10476:: Trying to send action
2025-08-21 15:25:20,589-DEBUG-root-25612::base::click|189:: Click Type: ClickType.JS
2025-08-21 15:25:21,689-DEBUG-root-25612::webapp_internal::send_action|10517:: send_action method result = True
2025-08-21 15:25:21,691-DEBUG-root-25612::webapp_internal::send_action|10518:: send_action selenium status: False
2025-08-21 15:25:21,691-DEBUG-root-25612::webapp_internal::SetButton|4637:: ***System Info*** After Clicking on button:
2025-08-21 15:25:21,692-DEBUG-root-25612::psutil_info::system_info|5:: CPU USAGE: 43.5%
2025-08-21 15:25:21,692-DEBUG-root-25612::psutil_info::system_info|6:: MEMORY USAGE: 91.8%
2025-08-21 15:25:21,693-DEBUG-root-25612::psutil_info::system_info|7:: MEMORY AVAILABLE: 8.16%
2025-08-21 15:25:21,694-INFO-root-25612::webapp_internal::WaitShow|4934:: Waiting show text 'Atualizacao de Produtos - Incluir'...
2025-08-21 15:25:34,859-INFO-root-25612::webapp_internal::WaitShow|4950:: Text found! 
2025-08-21 15:25:34,859-DEBUG-root-25612::webapp_internal::SetFocus|5967:: Setting focus on element B1_DESC.
2025-08-21 15:25:36,638-DEBUG-root-25612::base::click|189:: Click Type: ClickType.SELENIUM
2025-08-21 15:25:36,741-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:37,253-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:25:37,254-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:38,122-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:39,208-INFO-root-25612::webapp_internal::input_value|2894:: Looking for element: B1_DESC
2025-08-21 15:25:40,586-INFO-root-25612::webapp_internal::input_value|2904:: Element: B1_DESC Found!
2025-08-21 15:25:40,587-INFO-root-25612::webapp_internal::input_value|2906:: Filling element: B1_DESC
2025-08-21 15:25:40,667-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value:                                                                                                                                                                                                         
2025-08-21 15:25:40,747-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:25:43,870-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: PRODUTO TESTE TIR
2025-08-21 15:25:43,870-INFO-root-25612::webapp_internal::input_value|3014:: Current field value: PRODUTO TESTE TIR
2025-08-21 15:25:43,918-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:44,268-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:25:44,268-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:45,817-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:46,736-INFO-root-25612::webapp_internal::input_value|2894:: Looking for element: B1_UM
2025-08-21 15:25:48,315-INFO-root-25612::webapp_internal::input_value|2904:: Element: B1_UM Found!
2025-08-21 15:25:48,316-INFO-root-25612::webapp_internal::input_value|2906:: Filling element: B1_UM
2025-08-21 15:25:48,388-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value:   
2025-08-21 15:25:48,491-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:25:51,466-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: UN
2025-08-21 15:25:51,466-INFO-root-25612::webapp_internal::input_value|3014:: Current field value: UN
2025-08-21 15:25:51,499-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:52,965-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: False
2025-08-21 15:25:52,966-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:25:53,839-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:25:54,728-INFO-root-25612::webapp_internal::input_value|2894:: Looking for element: B1_XAPRES
2025-08-21 15:25:56,215-INFO-root-25612::webapp_internal::input_value|2904:: Element: B1_XAPRES Found!
2025-08-21 15:25:56,215-INFO-root-25612::webapp_internal::input_value|2906:: Filling element: B1_XAPRES
2025-08-21 15:25:56,301-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value:      
2025-08-21 15:25:56,404-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:25:59,383-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: 
2025-08-21 15:25:59,475-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:25:59,950-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:25:59,951-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:26:00,904-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:26:01,815-INFO-root-25612::webapp_internal::input_value|2894:: Looking for element: B1_XMARCA
2025-08-21 15:26:03,221-INFO-root-25612::webapp_internal::input_value|2904:: Element: B1_XMARCA Found!
2025-08-21 15:26:03,221-INFO-root-25612::webapp_internal::input_value|2906:: Filling element: B1_XMARCA
2025-08-21 15:26:03,320-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value:     
2025-08-21 15:26:03,448-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:26:06,457-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: 0412
2025-08-21 15:26:06,458-INFO-root-25612::webapp_internal::input_value|3014:: Current field value: 0412
2025-08-21 15:26:06,527-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:26:07,201-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
2025-08-21 15:26:07,202-DEBUG-root-25612::webapp_internal::wait_element|7646:: Waiting for element
2025-08-21 15:26:08,588-DEBUG-root-25612::webapp_internal::wait_element|7676:: Element found! Waiting for element to be displayed.
2025-08-21 15:26:09,586-INFO-root-25612::webapp_internal::input_value|2894:: Looking for element: B1_XCAT1
2025-08-21 15:26:11,238-INFO-root-25612::webapp_internal::input_value|2904:: Element: B1_XCAT1 Found!
2025-08-21 15:26:11,238-INFO-root-25612::webapp_internal::input_value|2906:: Filling element: B1_XCAT1
2025-08-21 15:26:11,355-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value:   
2025-08-21 15:26:11,470-DEBUG-root-25612::base::double_click|256:: Click Type: ClickType.SELENIUM
2025-08-21 15:26:14,774-DEBUG-root-25612::webapp_internal::get_web_value|3187:: Current value: 07
2025-08-21 15:26:14,775-INFO-root-25612::webapp_internal::input_value|3014:: Current field value: 07
2025-08-21 15:26:14,853-DEBUG-root-25612::webapp_internal::wait_blocker|2399:: Waiting blocker to continue...
2025-08-21 15:26:15,466-DEBUG-root-25612::webapp_internal::wait_blocker|2424:: Blocker status: None
